,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,OBC Boys,Gen. Boys,Total ST,Total SC,Total GEN,Total
0,JHABUA,46531,43106,609,673,712,853,236,274,48088,44906,0,0,89637,1282,510,92994
1,MORENA,449,601,11647,11853,21492,23350,9441,10841,43029,46645,0,0,1050,23500,20282,89674
2,SHEOPUR,14927,14529,6291,6541,18175,20337,1345,1452,40738,42859,0,0,29456,12832,2797,83597
3,REWA,7789,7958,7867,8359,10146,12110,4750,6582,30552,35009,0,0,15747,16226,11332,65561
4,BHIND,94,262,7076,7972,12419,12638,8229,8785,27818,29657,0,0,356,15048,17014,57475
5,NEEMUCH,5280,5063,4642,5725,15735,19706,1769,2655,27426,33149,0,0,10343,10367,4424,60575
6,CHHINDWARA,10014,10198,2743,2723,10145,10859,439,401,23341,24181,0,0,20212,5466,840,47522
7,ANUPPUR,11179,11296,2782,2966,5922,6848,780,922,20663,22032,0,0,22475,5748,1702,42695
8,KHARGONE,7864,8048,2766,2652,3675,4089,629,713,14934,15502,0,0,15912,5418,1342,30436
9,ASHOKNAGAR,3359,3276,2550,2577,7531,7964,616,753,14056,14570,0,0,6635,5127,1369,28626
10,DHAR,8826,9229,1702,1867,1730,2538,959,1380,13217,15014,0,0,18055,3569,2339,28231
11,ALIRAJPUR,7719,7914,993,1104,33,42,7,13,8752,9073,0,0,15633,2097,20,17825
12,RAJGARH,412,386,1903,2367,4998,6702,429,554,7742,10009,0,0,798,4270,983,17751
13,DAMOH,2220,2078,1452,1504,3609,3990,321,309,7602,7881,0,0,4298,2956,630,15483
14,BARWANI,2554,2785,551,482,763,899,55,60,3923,4226,0,0,5339,1033,115,8149
15,BALAGHAT,1327,1316,143,139,2087,2121,16,19,3573,3595,0,0,2643,282,35,7168
16,RATLAM,2055,2070,23,28,31,51,4,7,2113,2156,0,0,4125,51,11,4269
17,SATNA,321,362,460,489,592,702,205,320,1578,1873,0,0,683,949,525,3451
18,BETUL,807,906,165,154,483,511,75,75,1530,1646,0,0,1713,319,150,3176
19,DEWAS,631,650,241,255,451,678,48,69,1371,1652,0,0,1281,496,117,3023
20,MANDSAUR,73,94,362,408,619,721,150,87,1204,1310,0,0,167,770,237,2514
21,VIDISHA,159,138,351,370,530,592,107,113,1147,1213,0,0,297,721,220,2360
22,SHAHDOL,492,473,112,112,283,264,55,85,942,934,0,0,965,224,140,1876
23,SHIVPURI,97,101,252,335,488,700,82,80,919,1216,0,0,198,587,162,2135
24,INDORE,190,105,253,176,275,208,173,127,891,616,0,0,295,429,300,1507
25,TIKAMGARH,75,67,256,302,479,507,57,87,867,963,0,0,142,558,144,1830
26,DATIA,7,13,252,211,532,526,56,55,847,805,0,0,20,463,111,1652
27,GUNA,192,174,128,141,473,496,17,20,810,831,0,0,366,269,37,1641
28,KATNI,174,225,191,192,365,506,79,73,809,996,0,0,399,383,152,1805
29,SEONI,492,491,54,52,180,203,22,23,748,769,0,0,983,106,45,1517
30,HOSHANGABAD,151,136,236,190,269,270,84,115,740,711,0,0,287,426,199,1451
31,SIDHI,209,212,123,103,254,277,62,68,648,660,0,0,421,226,130,1308
32,SINGROULI,147,183,57,77,236,344,82,105,522,709,0,0,330,134,187,1231
33,PANNA,189,258,103,128,104,190,87,100,483,676,0,0,447,231,187,1159
34,UJJAIN,5,15,212,338,173,315,56,92,446,760,0,0,20,550,148,1206
35,JABALPUR,47,29,281,267,111,85,5,5,444,386,0,0,76,548,10,830
36,BURHANPUR,170,170,45,89,102,242,123,155,440,656,0,0,340,134,278,1096
37,BHOPAL,51,68,137,190,194,347,50,114,432,719,0,0,119,327,164,1151
38,SAGAR,66,80,93,86,141,143,4,5,304,314,0,0,146,179,9,618
39,CHHATARPUR,6,6,113,109,150,135,25,22,294,272,0,0,12,222,47,566
40,MANDLA,112,222,6,4,137,148,0,1,255,375,0,0,334,10,1,630
41,DINDORI,123,112,9,10,91,89,3,4,226,215,0,0,235,19,7,441
42,RAISEN,19,16,38,32,104,122,48,58,209,228,0,0,35,70,106,437
43,NARSINGHPUR,50,73,19,88,102,230,4,15,175,406,0,0,123,107,19,581
44,KHANDWA,137,145,1,2,23,31,0,0,161,178,0,0,282,3,0,339
45,SEHORE,7,8,29,23,108,79,14,17,158,127,0,0,15,52,31,285
46,GWALIOR,0,1,51,44,48,67,14,18,113,130,0,0,1,95,32,243
47,HARDA,33,33,29,30,17,32,3,4,82,99,0,0,66,59,7,181
48,SHAJAPUR,0,0,36,23,12,4,10,7,58,34,0,0,0,59,17,92
49,UMARIA,21,20,3,7,28,33,0,0,52,60,0,0,41,10,0,112
50,AGAR MALWA,0,0,9,15,17,10,10,18,36,43,0,0,0,24,28,79
