,Unnamed: 0,District,Primary BoysTextBook,Primary GirlsTextBook,Upper Primary BoysTextBook,Upper Primary GirlsTextBook,Primary BoysUniform,Primary GirlsUniform,Upper Primary BoysUniform,Upper Primary GirlsUniform,District Name,Boys Total,Girls Total
35,35,REWA,109510,122905,45421,61232,827,115775,212,58505,REWA,98241,104585
14,14,DHAR,110237,120812,35571,40337,12910,118329,6544,38935,DHAR,102695,106794
43,43,SHIVPURI,113148,118658,46413,48341,59,121802,33,45590,SHIVPURI,107354,104551
36,36,SAGAR ,112496,116101,57895,66997,39743,116366,19932,66845,SAGAR,100972,102332
9,9,CHHATARPUR,111903,115085,45162,49113,9959,112870,4989,47828,CHHATARPUR,109034,106062
37,37,SATNA,104149,113903,52210,64170,6989,111199,4089,63623,SATNA,96369,100715
25,25,KHARGONE,93929,104732,32464,38578,18763,106013,7990,37101,KHARGONE,90290,91212
46,46,TIKAMGARH  ,96073,98272,40964,41873,13387,96824,7471,41812,TIKAMGARH,97614,92057
10,10,CHHINDWARA ,94276,95210,52778,59574,7589,93688,5719,58829,CHHINDWARA,83798,83311
4,4,BARWANI,87508,93003,23777,26822,8534,91625,3331,25716,BARWANI,85402,86034
45,45,SINGRAULI,73556,81668,23871,27875,0,76863,0,28358,SINGROULI,74723,74979
5,5,BETUL ,78578,79411,41318,45952,0,76141,0,45488,BETUL,70891,70106
33,33,RAJGARH,62868,78459,25492,29950,10294,77545,5297,29744,RAJGARH,67904,79311
49,49,VIDISHA,71629,77975,28182,31366,12470,73148,6525,31999,VIDISHA,78187,75649
3,3,BALAGHAT,72887,77201,40542,47533,15190,75088,8329,46655,BALAGHAT,62795,65516
28,28,MORENA,73019,76119,35696,45926,23371,73865,9980,44492,MORENA,84404,79683
44,44,SIDHI,69177,75843,31825,35521,82,73293,60,35087,SIDHI,67804,67787
24,24,KHANDWA,69620,74205,25507,26540,12566,73240,6610,26293,KHANDWA,69341,68047
41,41,SHAJAPUR,56389,72901,26415,31344,3610,70714,1768,30364,SHAJAPUR,26593,34370
47,47,UJJAIN,59382,72137,28256,29802,7991,68182,3884,29279,UJJAIN,53814,63228
11,11,DAMOH  ,67813,71290,31566,36109,13015,68208,5797,35371,DAMOH,65564,65171
22,22,JHABUA,76806,70496,17995,14360,9703,69155,5159,14166,JHABUA,86878,81084
21,21,JABALPUR,68597,69991,38060,43277,6052,68711,4337,41199,JABALPUR,62435,62988
23,23,KATNI,67324,69384,31899,36356,2506,68859,1256,36185,KATNI,62867,62345
39,39,SEONI,66476,68923,38413,46163,7854,67278,6731,44141,SEONI,58095,58799
34,34,RATLAM,62663,68264,24281,24186,18952,68058,7348,24092,RATLAM,60490,62957
6,6,BHIND,64378,67563,34396,40830,14072,66229,6137,39975,BHIND,70165,68471
32,32,RAISEN,61228,65648,28053,33326,6654,63731,4157,32760,RAISEN,55682,57897
31,31,PANNA,62415,64948,23130,29322,6683,70623,3144,28842,PANNA,61592,59671
17,17,GWALIOR,55767,62823,23591,30939,13817,57873,6436,29034,GWALIOR,55625,57142
13,13,DEWAS ,50684,61943,22322,27029,7864,61243,4147,27800,DEWAS,51974,59348
0,0,ALIRAJPUR ,61014,61049,13802,13433,5999,59480,3788,13296,ALIRAJPUR,65871,60403
2,2,ASHOKNAGAR ,54197,58154,18866,20097,9079,57806,2266,20015,ASHOKNAGAR,51094,51781
26,26,MANDLA,56345,58072,27640,31232,34,58186,66,30654,MANDLA,54706,54700
38,38,SEHORE,48114,57815,23776,32511,8497,56282,5493,32540,SEHORE,43409,49621
16,16,GUNA,54505,56314,17768,18393,14212,55360,4092,18175,GUNA,73977,77333
40,40,SHAHDOL,57294,55714,25050,29670,7862,51726,3633,29296,SHAHDOL,51299,51121
27,27,MANDSAUR,43089,53590,22588,24308,6439,53471,2600,23860,MANDSAUR,38564,45809
7,7,BHOPAL,46741,52012,17610,21710,11653,43950,4798,19066,BHOPAL,41923,45221
20,20,INDORE,41956,50376,20338,26759,7723,49623,4703,26421,INDORE,42625,49861
42,42,SHEOPUR,44872,48058,15162,16762,17331,44450,5256,15825,SHEOPUR,41140,40646
19,19,HOSHANGABAD,42772,45990,22081,26291,6499,44273,4787,25471,HOSHANGABAD,37881,40349
29,29,NARSIMHAPUR,41487,43733,23600,26372,5518,43107,3637,26084,NARSINGHPUR,37647,38836
15,15,DINDORI,39874,41988,18086,19693,10088,40234,6028,19923,DINDORI,41071,41457
12,12,DATIA,40359,41727,21994,23082,5651,40577,3390,22279,DATIA,38754,36992
8,8,BURHANPUR ,34079,36361,10787,12654,4107,25763,6369,12618,BURHANPUR,34607,33824
48,48,UMARIA,34616,35857,16133,18410,7087,35620,3605,17957,UMARIA,34845,35076
1,1,ANUPPUR,32850,34453,16702,19640,12602,34518,6899,19369,ANUPPUR,31900,32132
30,30,NEEMUCH,27646,32922,13179,14233,1199,32856,922,14333,NEEMUCH,23134,27047
18,18,HARDA ,26748,28856,11814,12511,1751,28335,1503,11544,HARDA,23402,23722
