,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",DINDORI,SAMNAPUR,258,191,52,10,5,256,190,52,9,5,2,1,0,1,0,99.22,99.48,100,90,100
"                                            2
                                        ",DINDORI,AMARPUR,248,191,41,10,6,245,190,41,10,5,3,1,0,0,1,98.79,99.48,100,100,83.33
"                                            3
                                        ",DINDORI,KARANJIA,263,186,60,10,7,259,185,57,10,7,4,1,3,0,0,98.48,99.46,95,100,100
"                                            4
                                        ",DINDORI,MEHANDWANI,252,184,53,10,5,246,183,52,6,5,6,1,1,4,0,97.62,99.46,98.11,60,100
"                                            5
                                        ",DINDORI,BAJAG,239,173,50,10,6,233,170,48,9,6,6,3,2,1,0,97.49,98.27,96,90,100
"                                            6
                                        ",DINDORI,DINDORI,403,283,90,16,14,392,283,87,12,14,11,0,3,4,0,97.27,100,96.67,75,100
"                                            7
                                        ",DINDORI,SHAHPURA,356,217,108,19,12,341,215,104,10,12,15,2,4,9,0,95.79,99.08,96.3,52.63,100
 , ,Total,2019,1425,454,85,55,1972,1416,441,66,54,47,9,13,19,1, , , , , 
