,No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
0,,,,Total Schools,Mapped Schools,Non-Mapped Schools,Mapped Schools Percentage,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,
2,"                                            1
                                        ",REWA,RAIPUR(K),478,324,127,15,12,473,324,126,14,12,5,0,1,1,0,98.95,100.00,99.21,93.33,100.00
3,"                                            2
                                        ",REWA,GANGEO,462,306,119,19,18,457,306,118,18,17,5,0,1,1,1,98.92,100.00,99.16,94.74,94.44
4,"                                            3
                                        ",REWA,MAUGANJ,364,261,82,12,9,360,259,82,11,9,4,2,0,1,0,98.90,99.23,100.00,91.67,100.00
5,"                                            4
                                        ",REWA,SIRMOUR,551,394,123,16,18,542,391,123,11,18,9,3,0,5,0,98.37,99.24,100.00,68.75,100.00
6,"                                            5
                                        ",REWA,JAWA,518,400,94,12,12,509,398,94,8,11,9,2,0,4,1,98.26,99.50,100.00,66.67,91.67
7,"                                            6
                                        ",REWA,TEONTHAR,569,450,95,13,11,558,448,93,9,11,11,2,2,4,0,98.07,99.56,97.89,69.23,100.00
8,"                                            7
                                        ",REWA,REWA,571,379,141,21,30,556,376,138,16,29,15,3,3,5,1,97.37,99.21,97.87,76.19,96.67
9,"                                            8
                                        ",REWA,NAIGARHI,402,308,73,10,11,391,302,72,6,11,11,6,1,4,0,97.26,98.05,98.63,60.00,100.00
10,"                                            9
                                        ",REWA,HANUMANA,476,353,98,15,10,455,343,93,11,10,21,10,5,4,0,95.59,97.17,94.90,73.33,100.00
11, , ,Total,4391,3175,952,133,131,4301,3147,939,104,128,90,28,13,29,3, , , , , 
